dataset,problem_id,nl,python,java,java_test,n_attempts,flag,fail_reason,ast_jaccard_cross,python_flag,output_match,output_match_rate,output_match_error,last_error
mbpp,103,"Write a function to find the Eulerian number a(n, m).","def eulerian_num(n, m): 
	if (m >= n or n == 0): 
		return 0 
	if (m == 0): 
		return 1 
	return ((n - m) * eulerian_num(n - 1, m - 1) +(m + 1) * eulerian_num(n - 1, m))","// Solution.java
public class Solution {
    public static int eulerianNum(int n, int m) {
        if (m >= n || n == 0) {
            return 0;
        }
        if (m == 0) {
            return 1;
        }
        return ((n - m) * eulerianNum(n - 1, m - 1) + (m + 1) * eulerianNum(n - 1, m));
    }
}","// Main.java
public class Main {
    public static void main(String[] args) {
        assert Solution.eulerianNum(3, 1) == 4 : ""Test 1 failed"";
        assert Solution.eulerianNum(4, 1) == 11 : ""Test 2 failed"";
        assert Solution.eulerianNum(5, 3) == 26 : ""Test 3 failed"";
        System.out.println(""All tests passed."");
    }
}",1,True,,0.1959,True,True,1.0,,
mbpp,268,Write a function to find the n'th star number.,"def find_star_num(n): 
	return (6 * n * (n - 1) + 1) ","// Solution.java
public class Solution {
    public static int findStarNum(int n) {
        return 6 * n * (n - 1) + 1;
    }
}","// Main.java
import java.util.*;

public class Main {
    public static void main(String[] args) {
        assert Solution.findStarNum(3) == 37 : ""Test case 1 failed"";
        assert Solution.findStarNum(4) == 73 : ""Test case 2 failed"";
        assert Solution.findStarNum(5) == 121 : ""Test case 3 failed"";
        
        System.out.println(""All test cases passed!"");
    }
}",1,True,,0.1724,True,True,1.0,,
mbpp,66,Write a python function to count the number of positive numbers in a list.,"def pos_count(list):
  pos_count= 0
  for num in list: 
    if num >= 0: 
      pos_count += 1
  return pos_count ","// Solution.java
public class Solution {
    public static int posCount(int[] list) {
        int posCount = 0;
        for (int num : list) {
            if (num >= 0) {
                posCount += 1;
            }
        }
        return posCount;
    }
}","// Main.java
public class Main {
    public static void main(String[] args) {
        assert Solution.posCount(new int[]{1, -2, 3, -4}) == 2;
        assert Solution.posCount(new int[]{3, 4, 5, -1}) == 3;
        assert Solution.posCount(new int[]{1, 2, 3, 4}) == 4;
        System.out.println(""All tests passed."");
    }
}",1,True,,0.2619,True,False,0.0,0/3 inputs matched,
mbpp,442,Write a function to find the ration of positive numbers in an array of integers.,"from array import array
def positive_count(nums):
    n = len(nums)
    n1 = 0
    for x in nums:
        if x > 0:
            n1 += 1
        else:
          None
    return round(n1/n,2)","// Solution.java
public class Solution {
    public static double positiveCount(int[] nums) {
        int n = nums.length;
        int n1 = 0;
        for (int x : nums) {
            if (x > 0) {
                n1++;
            }
        }
        return Math.round((double) n1 / n * 100.0) / 100.0;
    }
}","// Main.java
public class Main {
    public static void main(String[] args) {
        assert Math.abs(Solution.positiveCount(new int[]{0, 1, 2, -1, -5, 6, 0, -3, -2, 3, 4, 6, 8}) - 0.54) < 1e-6;
        assert Math.abs(Solution.positiveCount(new int[]{2, 1, 2, -1, -5, 6, 4, -3, -2, 3, 4, 6, 8}) - 0.69) < 1e-6;
        assert Math.abs(Solution.positiveCount(new int[]{2, 4, -6, -9, 11, -12, 14, -5, 17}) - 0.56) < 1e-6;
        System.out.println(""All tests passed."");
    }
}",1,True,,0.2923,True,False,0.0,0/3 inputs matched,
mbpp,106,Write a function to append the given list to the given tuples.,"def add_lists(test_list, test_tup):
  res = tuple(list(test_tup) + test_list)
  return (res) ","// Solution.java
public class Solution {
    public static Object[] addLists(Object[] testList, Object[] testTup) {
        List<Object> tempList = new ArrayList<>(Arrays.asList(testTup));
        Collections.addAll(tempList, testList);
        return tempList.toArray();
    }
}","// Main.java
import java.util.*;

public class Main {
    public static void main(String[] args) {
        assert Arrays.equals(Solution.addLists(new Integer[]{5, 6, 7}, new Integer[]{9, 10}), new Integer[]{9, 10, 5, 6, 7});
        assert Arrays.equals(Solution.addLists(new Integer[]{6, 7, 8}, new Integer[]{10, 11}), new Integer[]{10, 11, 6, 7, 8});
        assert Arrays.equals(Solution.addLists(new Integer[]{7, 8, 9}, new Integer[]{11, 12}), new Integer[]{11, 12, 7, 8, 9});
    }
}",1,True,,0.2571,True,False,0.0,0/3 inputs matched,
mbpp,115,Write a function to check whether all dictionaries in a list are empty or not.,"def empty_dit(list1):
 empty_dit=all(not d for d in list1)
 return empty_dit","// Solution.java
public class Solution {
    public static boolean emptyDit(List<Map<Integer, Integer>> list1) {
        return list1.stream().allMatch(d -> d.isEmpty());
    }
}","// Main.java
import java.util.*;

public class Main {
    public static void main(String[] args) {
        assert Solution.emptyDit(Arrays.asList(new HashMap<>(), new HashMap<>(), new HashMap<>())) == true;
        assert Solution.emptyDit(Arrays.asList(new HashMap<Integer, Integer>() {{
            put(1, 2);
        }}, new HashMap<>(), new HashMap<>())) == false;
        assert Solution.emptyDit(Collections.singletonList(new HashMap<>())) == true;
    }
}",2,True,,0.2581,True,False,0.0,0/3 inputs matched,
mbpp,145,Write a python function to find the maximum difference between any two elements in a given array.,"def max_Abs_Diff(arr): 
    n = len(arr)
    minEle = arr[0] 
    maxEle = arr[0] 
    for i in range(1, n): 
        minEle = min(minEle,arr[i]) 
        maxEle = max(maxEle,arr[i]) 
    return (maxEle - minEle) ","// Solution.java
public class Solution {
    public static int maxAbsDiff(int[] arr) {
        int n = arr.length;
        if (n == 0) return 0; // Handle edge case where array is empty

        int minEle = arr[0];
        int maxEle = arr[0];

        for (int i = 1; i < n; i++) {
            minEle = Math.min(minEle, arr[i]);
            maxEle = Math.max(maxEle, arr[i]);
        }

        return maxEle - minEle;
    }
}","// Main.java
public class Main {
    public static void main(String[] args) {
        assert Solution.maxAbsDiff(new int[]{2, 1, 5, 3}) == 4 : ""Test 1 failed"";
        assert Solution.maxAbsDiff(new int[]{9, 3, 2, 5, 1}) == 8 : ""Test 2 failed"";
        assert Solution.maxAbsDiff(new int[]{3, 2, 1}) == 2 : ""Test 3 failed"";

        System.out.println(""All tests passed."");
    }
}",1,True,,0.303,True,False,0.0,0/3 inputs matched,
mbpp,443,Write a python function to find the largest negative number from the given list.,"def largest_neg(list1): 
    max = list1[0] 
    for x in list1: 
        if x < max : 
             max = x  
    return max","// Solution.java
public class Solution {
    public static int largestNeg(int[] list1) {
        int max = list1[0];
        for (int x : list1) {
            if (x < max) {
                max = x;
            }
        }
        return max;
    }
}","// Main.java
public class Main {
    public static void main(String[] args) {
        assert Solution.largestNeg(new int[]{1, 2, 3, -4, -6}) == -6;
        assert Solution.largestNeg(new int[]{1, 2, 3, -8, -9}) == -9;
        assert Solution.largestNeg(new int[]{1, 2, 3, 4, -1}) == -1;
        System.out.println(""All tests passed."");
    }
}",1,True,,0.3636,True,False,0.0,0/3 inputs matched,
mbpp,63,Write a function to find the maximum difference between available pairs in the given tuple list.,"def max_difference(test_list):
  temp = [abs(b - a) for a, b in test_list]
  res = max(temp)
  return (res) ","// Solution.java
public class Solution {
    public static int maxDifference(List<int[]> testList) {
        List<Integer> temp = new ArrayList<>();
        for (int[] pair : testList) {
            temp.add(Math.abs(pair[1] - pair[0]));
        }
        return Collections.max(temp);
    }
}","// Main.java
import java.util.*;

public class Main {
    public static void main(String[] args) {
        assert Solution.maxDifference(Arrays.asList(new int[]{3, 5}, new int[]{1, 7}, new int[]{10, 3}, new int[]{1, 2})) == 7;
        assert Solution.maxDifference(Arrays.asList(new int[]{4, 6}, new int[]{2, 17}, new int[]{9, 13}, new int[]{11, 12})) == 15;
        assert Solution.maxDifference(Arrays.asList(new int[]{12, 35}, new int[]{21, 27}, new int[]{13, 23}, new int[]{41, 22})) == 23;
        System.out.println(""All tests passed."");
    }
}",1,True,,0.2727,True,False,0.0,0/3 inputs matched,
mbpp,235,Write a python function to set all even bits of a given number.,"def even_bit_set_number(n): 
    count = 0;res = 0;temp = n 
    while(temp > 0): 
        if (count % 2 == 1): 
            res |= (1 << count)
        count+=1
        temp >>= 1
    return (n | res) ","// Solution.java
public class Solution {
    public static int evenBitSetNumber(int n) {
        int count = 0;
        int res = 0;
        int temp = n;
        while (temp > 0) {
            if (count % 2 == 1) {
                res |= (1 << count);
            }
            count++;
            temp >>= 1;
        }
        return (n | res);
    }
}","// Main.java
public class Main {
    public static void main(String[] args) {
        assert Solution.evenBitSetNumber(10) == 10;
        assert Solution.evenBitSetNumber(20) == 30;
        assert Solution.evenBitSetNumber(30) == 30;
    }
}",1,True,,0.2,True,True,1.0,,
mbpp,118,Write a function to convert a string to a list of strings split on the space character.,"def string_to_list(string): 
    lst = list(string.split("" "")) 
    return lst","// Solution.java
public class Solution {
    public static List<String> stringToList(String string) {
        return Arrays.asList(string.split("" ""));
    }
}","// Main.java
import java.util.*;

public class Main {
    public static void main(String[] args) {
        assert Solution.stringToList(""python programming"").equals(Arrays.asList(""python"", ""programming""));
        assert Solution.stringToList(""lists tuples strings"").equals(Arrays.asList(""lists"", ""tuples"", ""strings""));
        assert Solution.stringToList(""write a program"").equals(Arrays.asList(""write"", ""a"", ""program""));
        System.out.println(""All tests passed."");
    }
}",1,True,,0.1154,True,True,1.0,,
